source_file,constraint_name,from_table,from_columns,to_table,to_columns,match_type
dbo.CUST_ADDRESS.sql,FK_CUST_ADDR_CNTRY,CUST_ADDRESS,DEF_SLS_TAX_GRP_ID,SALES_TAX_GROUP,ID,ALTER_TABLE_FK
dbo.CUST_ADDRESS.sql,FKEY0062,CUST_ADDRESS,DISCOUNT_CODE,CUSTOMER_DISCOUNT,DISCOUNT_CODE,ALTER_TABLE_FK
dbo.CUST_ADDRESS.sql,FKEY9314,CUST_ADDRESS,MODE_OF_TRANSPORT,MODE_OF_TRANSPORT,CODE,ALTER_TABLE_FK
dbo.CUST_ADDRESS.sql,FKEY9312,CUST_ADDRESS,NATURE_OF_TRANS,NATURE_OF_TRANS,CODE,ALTER_TABLE_FK
dbo.CUST_ADDRESS.sql,FKEY0070,CUST_ADDRESS,SALESREP_ID,SALES_REP,ID,ALTER_TABLE_FK
dbo.CUST_ADDRESS.sql,FKEY9311,CUST_ADDRESS,TRANS_CODE,PORT_OF_TRANS,CODE,ALTER_TABLE_FK
dbo.CUST_CONTACT.sql,FK_CUST_CONT_CONT,CUST_CONTACT,CONTACT_ID,CONTACT,ID,ALTER_TABLE_FK
dbo.CUST_CONTACT.sql,FK_CUST_CONT_CONT,CUST_CONTACT,CUSTOMER_ID,CUSTOMER,ID,ALTER_TABLE_FK
dbo.CUST_CONT_EML_DOC.sql,FKEY9605,CUST_CONT_EML_DOC,CUSTOMER_ID,CUSTOMER,ID,ALTER_TABLE_FK
dbo.CUST_LINE_BILLING.sql,FKEY9106,CUST_LINE_BILLING,"CUST_ORDER_ID, CUST_ORDER_LINE_NO",CUST_ORDER_LINE,"CUST_ORDER_ID, LINE_NO",ALTER_TABLE_FK
dbo.CUST_LINE_BILLING.sql,FKEY9106,CUST_LINE_BILLING,REV_GL_ACCT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_BINARY.sql,FKEY0155,CUST_ORDER_BINARY,CUST_ORDER_ID,CUSTOMER_ORDER,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_CURR.sql,FKEY9424,CUST_ORDER_CURR,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_CURR.sql,FKEY9424,CUST_ORDER_CURR,CUST_ORDER_ID,CUSTOMER_ORDER,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY0271,CUST_ORDER_LINE,ACK_ID,VMDI_ACK_CODES,ACK_ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY0100,CUST_ORDER_LINE,CUST_ORDER_ID,CUSTOMER_ORDER,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY0045,CUST_ORDER_LINE,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY0037,CUST_ORDER_LINE,SALES_TAX_GROUP_ID,SALES_TAX_GROUP,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FK_CUST_ORD_LINE_TO_SITE,CUST_ORDER_LINE,SELLING_UM,UNITS,UNIT_OF_MEASURE,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY0156,CUST_ORDER_LINE,SER_GL_ACCT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FK_CO_LINE_TRX_CAT,CUST_ORDER_LINE,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FK_CO_LINE_TRX_CAT,CUST_ORDER_LINE,TRANS_CATEGORY_ID,TRANS_CATEGORY,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_LINE.sql,FKEY9536,CUST_ORDER_LINE,vat_category,VAT_CATEGORY,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_SHARE.sql,FKEY0154,CUST_ORDER_SHARE,CUST_ORDER_ID,CUSTOMER_ORDER,ID,ALTER_TABLE_FK
dbo.CUST_ORDER_SHARE.sql,FKEY0154,CUST_ORDER_SHARE,SHARE_SALESREP_ID,SALES_REP,ID,ALTER_TABLE_FK
dbo.CUST_PRICE_EFFECT.sql,FKEY9600,CUST_PRICE_EFFECT,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.CUST_SHIP_CHG_ACCT.sql,FK_CUST_SHIP_CHG_ACCT_CUST,CUST_SHIP_CHG_ACCT,CUSTOMER_ID,CUSTOMER,ID,ALTER_TABLE_FK
dbo.CYCLE_COUNT_PART.sql,FKEY0111,CYCLE_COUNT_PART,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.CYCLE_COUNT_PART.sql,FKEY0111,CYCLE_COUNT_PART,WAREHOUSE_ID,WAREHOUSE,ID,ALTER_TABLE_FK
dbo.DEFAULT_DATA.sql,FK_DEFAULT_DATA_SITE,DEFAULT_DATA,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.DEMAND_FORECAST.sql,FK_DEMAND_FORECAST_TO_SITE,DEMAND_FORECAST,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.DEMAND_FORECAST.sql,FK_DEMAND_FORECAST_TO_SITE,DEMAND_FORECAST,SITE_ID,SITE,ID,ALTER_TABLE_FK
